ruta_imagen1,ruta_imagen2,ruta_imagen3,theta_i
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032].png","[0.0, -2.303834612632515, -2.0, 70.5396290226421, 111.99209874746225, 91.88529569816032]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684].png","[0.0, -2.303834612632515, -2.0943951023931953, 176.17464890716013, 47.83264876445229, 37.75385703331684]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104].png","[0.0, -2.303834612632515, -1.832595714594046, 172.49105711316815, 117.15991225106939, 120.36322369699104]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825].png","[0.0, -2.303834612632515, -1.5707963267948966, 17.437701399904903, 150.66348571410478, 117.877518368825]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686].png","[0.0, -2.303834612632515, -1.308996938995747, 167.88377961495422, 120.70128116733336, 143.13786084195686]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408].png","[0.0, -2.303834612632515, 2.0, 56.705154734018045, 9.143655233421326, 133.61283388832408]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458].png","[0.0, -2.303834612632515, 2.0943951023931953, 141.7407160977862, 6.650087701377241, 14.501498909887458]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764].png","[0.0, -2.303834612632515, 1.832595714594046, 64.81855846669289, 23.683818902715753, 101.55969041682764]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773].png","[0.0, -2.303834612632515, 1.5707963267948966, 3.6172028548382817, 99.63178304331318, 174.48244741161773]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892].png","[0.0, -2.303834612632515, 1.308996938995747, 78.60070907467761, 47.11742051996007, 171.86006141694892]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985].png","[0.0, -2.0943951023931957, -2.0, 17.318548161090284, 158.68737777759495, 7.742153637495985]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294].png","[0.0, -2.0943951023931957, -2.0943951023931953, 170.68454728752764, 23.68667010720984, 24.32679683774294]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624].png","[0.0, -2.0943951023931957, -1.832595714594046, 3.639519916144256, 11.501808199048892, 3.833485323443624]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818].png","[0.0, -2.0943951023931957, -1.5707963267948966, 35.23628035325308, 116.22828695695817, 13.878536832607818]"
