ruta_imagen1,ruta_imagen2,ruta_imagen3,t1,t2,t3,t4,t5,t6
"capturas/raw/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/raw1/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/raw2/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png",0,-2.51327412287183,-2,175.297488387627,11.5840048446036,7.64143905720585
"capturas/raw/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/raw1/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/raw2/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png",0,-2.51327412287183,-2.0943951023932,159.345660424148,89.492797970819,163.675720412308
"capturas/raw/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png",0,-2.51327412287183,-1.83259571459405,69.8044977625135,109.545584928512,53.2728270168245
"capturas/raw/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png",0,-2.51327412287183,-1.5707963267949,113.25403168342,162.091197673376,120.827258263991
"capturas/raw/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png",0,-2.51327412287183,-1.30899693899575,178.414843415274,4.90986674240575,117.869761828992
"capturas/raw/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/raw1/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/raw2/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png",0,-2.51327412287183,2,129.42499275472,148.817642511037,110.301313772729
"capturas/raw/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/raw1/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/raw2/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png",0,-2.51327412287183,2.0943951023932,54.1982742158823,100.413420955618,86.1259103897619
"capturas/raw/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png",0,-2.51327412287183,1.83259571459405,175.013420907068,61.8585481492214,129.747417763078
"capturas/raw/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png",0,-2.51327412287183,1.5707963267949,154.130303034383,144.042798287278,43.6249504498421
"capturas/raw/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png",0,-2.51327412287183,1.30899693899575,178.264907756746,71.3814661750938,35.702035014081
