ruta_imagen1,ruta_imagen2,ruta_imagen3,theta_i,tstamp
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_1.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_1.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_1.png,"[0.0, -2.5132741228718345, -2.0, -0.26943264119382393, -2.0124085718469544, 1.5128236988545736]",20:05:03
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_2.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_2.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_2.png,"[0.0, -2.5132741228718345, -2.0943951023931953, 0.8027342177662047, -2.27673521812695, 1.7580526640778464]",20:05:04
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_3.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_3.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_3.png,"[0.0, -2.5132741228718345, -1.832595714594046, -0.9938359849561285, -1.7708360329921744, 2.1657450400743903]",20:05:06
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_4.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_4.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_4.png,"[0.0, -2.5132741228718345, -1.5707963267948966, -0.9551909963052609, -2.064898173233094, 2.914495392617511]",20:05:08
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_5.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_5.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_5.png,"[0.0, -2.5132741228718345, -1.308996938995747, -0.1493777494775541, -1.8655093038972774, 0.7198249818310068]",20:05:10
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_6.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_6.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_6.png,"[0.0, -2.5132741228718345, 2.0, -3.012943703114235, -2.5300091214918905, 0.5161334770955864]",20:05:12
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_7.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_7.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_7.png,"[0.0, -2.5132741228718345, 2.0943951023931953, -3.3749332001355588, -1.8970431051541625, 1.2697045574847643]",20:05:14
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_8.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_8.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_8.png,"[0.0, -2.5132741228718345, 1.832595714594046, -3.151180500976002, -2.006933673446776, 0.8269609895587156]",20:05:16
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_9.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_9.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_9.png,"[0.0, -2.5132741228718345, 1.5707963267948966, -1.2153896362842684, -1.7627275980792811, 2.129289533024115]",20:05:18
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_10.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_10.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_10.png,"[0.0, -2.5132741228718345, 1.308996938995747, 0.6239760997228401, -2.0898269682677824, 0.3561572411434792]",20:05:20
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_11.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_11.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_11.png,"[0.0, -2.303834612632515, -2.0, -2.0486197524224394, -1.8579211872529051, 0.5021320113001645]",20:05:22
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_12.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_12.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_12.png,"[0.0, -2.303834612632515, -2.0943951023931953, -2.2801329010424896, -2.529650785845181, 1.3237786086775158]",20:05:24
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_13.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_13.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_13.png,"[0.0, -2.303834612632515, -1.832595714594046, 0.8180394919356764, -2.359664315898982, 1.2252266951691018]",20:05:26
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_14.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_14.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_14.png,"[0.0, -2.303834612632515, -1.5707963267948966, -0.31399157803225286, -2.0547515351085472, 1.525430288186913]",20:05:28
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_15.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_15.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_15.png,"[0.0, -2.303834612632515, -1.308996938995747, -3.1559751923168626, -1.812846765767976, 0.6815995347892768]",20:05:30
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_16.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_16.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_16.png,"[0.0, -2.303834612632515, 2.0, -3.0991514954429578, -2.4885815076629894, 1.7932679075232247]",20:05:32
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_17.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_17.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_17.png,"[0.0, -2.303834612632515, 2.0943951023931953, -1.2477289421431514, -2.054972388808742, 0.006111862170747961]",20:05:34
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_18.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_18.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_18.png,"[0.0, -2.303834612632515, 1.832595714594046, -1.6794417409780473, -2.368403342928202, 1.6617901766998822]",20:05:36
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_19.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_19.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_19.png,"[0.0, -2.303834612632515, 1.5707963267948966, -0.5927583397487086, -2.345405470158613, 1.7994387473481939]",20:05:38
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_20.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_20.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_20.png,"[0.0, -2.303834612632515, 1.308996938995747, -2.6000604432052095, -2.4791735698317425, 0.12065129211997053]",20:05:40
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_21.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_21.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_21.png,"[0.0, -2.0943951023931957, -2.0, 0.8420000945463477, -2.110729011556245, 2.518233941614526]",20:05:42
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_22.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_22.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_22.png,"[0.0, -2.0943951023931957, -2.0943951023931953, 0.4463005330603318, -2.2414473306139566, 0.054819025158278176]",20:05:44
/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_23.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_23.png,/home/ko/ur_ws/src/vision/Datos/capturas/raw3/img_23.png,"[0.0, -2.0943951023931957, -1.832595714594046, -1.0684424191279636, -2.1272896225713427, 2.9306426888497485]",20:05:46
