ruta_imagen1,ruta_imagen2,ruta_imagen3,px,py,pz,qw,qx,qy,qz,t1,t2,t3,t4,t5,t6
"capturas/raw/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/raw1/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/raw2/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png",0.739355144675041,-0.080623659773621,0.147918484195184,-0.080253537491469,0.713890119098082,-0.692970821695048,0.060923787255236,0.0,3.769911184307756,4.283185307179586,5.65148509377817,5.3008195374240135,1.3582537500262637
"capturas/raw/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/raw1/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/raw2/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png",0.831681025774882,-0.000728538509651,0.136070081024641,0.508284291958744,0.674550121956429,0.317987232801205,0.430712585481312,0.0,3.769911184307756,4.188790204786386,2.266027744658345,1.5282036703047908,0.3129024256387609
"capturas/raw/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png",0.914934801259582,0.027534018530188,0.030224427971186,-0.269143047007157,0.925301826944279,0.22340255908452,-0.146525922265548,0.0,3.769911184307756,4.450589592585536,0.6894593835380647,2.7314347064590407,3.0073445593878034
"capturas/raw/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png",0.87771515465915,0.07831233238574,0.152859995870344,0.117445112107599,0.79462716254485,0.595128410534894,-0.024423209497635,0.0,3.769911184307756,4.712388980384686,0.15669615418747185,5.011564993886353,1.44673742757886
"capturas/raw/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png",0.723236577407022,-0.081998006076699,0.148225314665332,0.572881454609034,0.419332394043409,-0.366027579456105,0.601656873432329,0.0,3.769911184307756,4.974188368183836,2.485654814245578,4.909866742405736,4.772426299759445
"capturas/raw/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/raw1/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/raw2/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png",0.848679973560801,0.070409603014836,0.178234543241487,-0.016234931675024,0.837362621857725,0.506888656774679,0.204019989565302,0.0,3.769911184307756,2.0,3.76128661112827,4.304380445906489,3.48716355067603
"capturas/raw/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/raw1/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/raw2/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png",0.909855932891033,0.014875686478984,0.034481226078045,-0.003801249315449,0.946950672050546,0.096667911449754,-0.306472331708106,0.0,3.769911184307756,2.0943951023932,3.9327917584456316,6.165641347924165,4.44450139642727
"capturas/raw/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png",0.789760068432666,-0.038816790995921,0.163662125251097,0.397892010344315,0.62066142796782,0.051887474621757,0.673623804444649,0.0,3.769911184307756,1.8325957145940501,5.367417613219203,5.309880384605087,4.08371161948628
"capturas/raw/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png",0.80519590802816,0.066618214577403,0.175980778746445,-0.517562051881149,0.603786812957386,0.171963041074975,0.581377432874362,0.0,3.769911184307756,1.5707963267949,3.333855662072949,5.812721529327078,5.925838606764586
"capturas/raw/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png",0.790491956870239,-0.026275581363791,0.158401639859083,-0.227331604659289,0.687472243503415,-0.414494668092305,0.551268016538656,0.0,3.769911184307756,1.30899693899575,2.3357191557176122,2.266427796118329,4.286108478183067
