ruta_imagen1,ruta_imagen2,ruta_imagen3,ruta_imagen1d,ruta_imagen2d,ruta_imagen3d,px,py,pz,qw,qx,qy,qz,t1,t2,t3,t4,t5,t6
"capturas/raw/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/raw1/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/raw2/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/deep/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/deep1/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png","capturas/deep2/img_[0.0, -2.5132741228718345, -2.0, 175.2974883876273, 11.584004844603628, 7.64143905720585].png",0.739355144675041,-0.080623659773621,0.147918484195184,-0.080253537491469,0.713890119098082,-0.692970821695048,0.060923787255236,0,3.76991118430776,4.28318530717959,5.65148509377817,5.30081953742401,1.35825375002626
"capturas/raw/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/raw1/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/raw2/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/deep/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/deep1/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png","capturas/deep2/img_[0.0, -2.5132741228718345, -2.0943951023931953, 159.3456604241477, 89.49279797081901, 163.67572041230846].png",0.831681025774882,-0.000728538509651,0.136070081024641,0.508284291958744,0.674550121956429,0.317987232801205,0.430712585481312,0,3.76991118430776,4.18879020478639,2.26602774465834,1.52820367030479,0.312902425638761
"capturas/raw/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/deep/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/deep1/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png","capturas/deep2/img_[0.0, -2.5132741228718345, -1.832595714594046, 69.80449776251353, 109.54558492851186, 53.272827016824536].png",0.914934801259582,0.027534018530188,0.030224427971186,-0.269143047007157,0.925301826944279,0.22340255908452,-0.146525922265548,0,3.76991118430776,4.45058959258554,0.689459383538065,2.73143470645904,3.0073445593878
"capturas/raw/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/deep/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/deep1/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png","capturas/deep2/img_[0.0, -2.5132741228718345, -1.5707963267948966, 113.25403168342025, 162.09119767337558, 120.82725826399108].png",0.87771515465915,0.07831233238574,0.152859995870344,0.117445112107599,0.79462716254485,0.595128410534894,-0.024423209497635,0,3.76991118430776,4.71238898038469,0.156696154187472,5.01156499388635,1.44673742757886
"capturas/raw/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/raw1/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/raw2/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/deep/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/deep1/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png","capturas/deep2/img_[0.0, -2.5132741228718345, -1.308996938995747, 178.4148434152738, 4.909866742405753, 117.8697618289918].png",0.723236577407022,-0.081998006076699,0.148225314665332,0.572881454609034,0.419332394043409,-0.366027579456105,0.601656873432329,0,3.76991118430776,4.97418836818384,2.48565481424558,4.90986674240574,4.77242629975945
"capturas/raw/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/raw1/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/raw2/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/deep/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/deep1/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png","capturas/deep2/img_[0.0, -2.5132741228718345, 2.0, 129.42499275472034, 148.817642511037, 110.30131377272878].png",0.848679973560801,0.070409603014836,0.178234543241487,-0.016234931675024,0.837362621857725,0.506888656774679,0.204019989565302,0,3.76991118430776,2,3.76128661112827,4.30438044590649,3.48716355067603
"capturas/raw/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/raw1/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/raw2/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/deep/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/deep1/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png","capturas/deep2/img_[0.0, -2.5132741228718345, 2.0943951023931953, 54.19827421588231, 100.41342095561812, 86.12591038976187].png",0.909855932891033,0.014875686478984,0.034481226078045,-0.003801249315449,0.946950672050546,0.096667911449754,-0.306472331708106,0,3.76991118430776,2.0943951023932,3.93279175844563,6.16564134792417,4.44450139642727
"capturas/raw/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/deep/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/deep1/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png","capturas/deep2/img_[0.0, -2.5132741228718345, 1.832595714594046, 175.01342090706834, 61.85854814922136, 129.7474177630776].png",0.789760068432666,-0.038816790995921,0.163662125251097,0.397892010344315,0.62066142796782,0.051887474621757,0.673623804444649,0,3.76991118430776,1.83259571459405,5.3674176132192,5.30988038460509,4.08371161948628
"capturas/raw/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/deep/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/deep1/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png","capturas/deep2/img_[0.0, -2.5132741228718345, 1.5707963267948966, 154.1303030343834, 144.04279828727763, 43.62495044984207].png",0.80519590802816,0.066618214577403,0.175980778746445,-0.517562051881149,0.603786812957386,0.171963041074975,0.581377432874362,0,3.76991118430776,1.5707963267949,3.33385566207295,5.81272152932708,5.92583860676459
"capturas/raw/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/raw1/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/raw2/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/deep/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/deep1/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png","capturas/deep2/img_[0.0, -2.5132741228718345, 1.308996938995747, 178.2649077567456, 71.38146617509375, 35.702035014080955].png",0.790491956870239,-0.026275581363791,0.158401639859083,-0.227331604659289,0.687472243503415,-0.414494668092305,0.551268016538656,0,3.76991118430776,1.30899693899575,2.33571915571761,2.26642779611833,4.28610847818307
